Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL
15001,Rock Blast,DS,2008,Aug,05,undefined,UFO Interactive  ,UFO Interactive  ,,,0.06,,,0.0,0.06,https://www.vgchartz.com/game/19431/rock-blast/?region=All
15002,Warriors of the Lost Empire,PSP,2007,Dec,13,undefined,UFO Interactive  ,Goshow  ,,,0.05,0.0,,0.0,0.06,https://www.vgchartz.com/game/13188/warriors-of-the-lost-empire/?region=All
15003,Showtime Championship Boxing,DS,2007,Nov,10,undefined,DSI Games  ,Nikitova Games  ,,,0.06,,,0.0,0.06,https://www.vgchartz.com/game/34062/showtime-championship-boxing/?region=All
15004,Little League World Series Baseball 2008,DS,2008,Aug,05,undefined,Activision  ,Black Lantern Studios  ,,,0.06,,,0.0,0.06,https://www.vgchartz.com/game/23583/little-league-world-series-baseball-2008/?region=All
15005,Combat Elite: WWII Paratroopers,PS2,2005,Nov,21,undefined,SouthPeak Interactive  ,BattleBorne  ,,,0.03,0.02,,0.01,0.06,https://www.vgchartz.com/game/4973/combat-elite-wwii-paratroopers/?region=All
15006,Power Pro Success Legends,PSP,2010,Feb,25,undefined,Konami  ,PawaPuro Production  ,,,,,0.06,,0.06,https://www.vgchartz.com/game/42377/power-pro-success-legends/?region=All
15007,Killer Loop,PS,1999,Oct,31,undefined,Crave Entertainment  ,VCC Entertainment  ,,,0.03,0.02,,0.0,0.06,https://www.vgchartz.com/game/33940/killer-loop/?region=All
15008,Cabela's Dangerous Hunts: Ultimate Challenge,PSP,2006,Apr,04,undefined,Activision  ,FUN Labs  ,,,0.06,,,0.0,0.06,https://www.vgchartz.com/game/291/cabelas-dangerous-hunts-ultimate-challenge/?region=All
15009,Worldwide Soccer,SAT,1995,Jan,01,undefined,Sega  ,Sega  ,,,,,0.06,,0.06,https://www.vgchartz.com/game/4268/worldwide-soccer/?region=All
15010,Puzzler Collection,Wii,2008,Jul,29,undefined,Zoo Digital Publishing  ,Route 1 Games  ,,,0.05,0.0,,0.0,0.06,https://www.vgchartz.com/game/24561/puzzler-collection/?region=All
15011,Toriko: Gourmet Battle!,3DS,2013,Jul,04,undefined,Namco Bandai Games  ,Bandai Namco Games  ,,,,,0.06,,0.06,https://www.vgchartz.com/game/74468/toriko-gourmet-battle/?region=All
15012,Jewel Link Chronicles: Mountains of Madness,DS,2012,Feb,08,undefined,Unknown  ,Avanquest Software  ,,,,0.05,,0.01,0.06,https://www.vgchartz.com/game/70159/jewel-link-chronicles-mountains-of-madness/?region=All
