Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL,New_Genre
9001,Tiger Woods PGA Tour,PSP,2005.0,Mar,23.0,undefined,EA Sports  ,EA Canada  ,8.0,,0.19,,,0.02,0.21,https://www.vgchartz.com/game/2427/tiger-woods-pga-tour/?region=All,Sports
9002,NHL 2K3,PS2,2002.0,Nov,10.0,undefined,Sega  ,Treyarch  ,,,0.1,0.08,,0.03,0.21,https://www.vgchartz.com/game/5531/nhl-2k3/?region=All,Sports
9003,Yarudora Series Vol. 2: Kisetsu wo Dakishimete,PS,1998.0,Jul,23.0,undefined,Sony Computer Entertainment  ,Sugar & Rockets  ,,,,,0.19,0.01,0.21,https://www.vgchartz.com/game/3618/yarudora-series-vol-2-kisetsu-wo-dakishimete/?region=All,Adventure
9004,Heisei Kyouiku linkai DS,DS,2006.0,Dec,21.0,undefined,Namco Bandai  ,Bandai Namco Games  ,,,,,0.21,,0.21,https://www.vgchartz.com/game/3485/heisei-kyouiku-linkai-ds/?region=All,Misc
9005,Discovery Kids: Pony Paradise,DS,2009.0,Mar,26.0,undefined,505 Games  ,505 Games  ,,,0.19,,,0.01,0.21,https://www.vgchartz.com/game/31729/discovery-kids-pony-paradise/?region=All,Simulation
9006,SpongeBob SquarePants: Game Boy Advance Video Volume 3,GBA,2004.0,Nov,1.0,undefined,Majesco  ,Majesco Games  ,,,0.15,0.05,,0.0,0.21,https://www.vgchartz.com/game/28409/spongebob-squarepants-game-boy-advance-video-volume-3/?region=All,Misc
9007,Pro Yakyuu Spirits 2010,PS3,2010.0,Apr,1.0,undefined,Konami  ,PawaPuro Production  ,,,,,0.21,,0.21,https://www.vgchartz.com/game/42474/pro-yakyuu-spirits-2010/?region=All,undefined
9008,Ampu-Tea,PC,2014.0,May,30.0,undefined,Kiss  ,Unknown  ,,,,,,,,https://www.vgchartz.com/game/82735/ampu-tea/?region=All,undefined
9009,Final Fight One,GBA,2001.0,Sep,26.0,undefined,Capcom  ,Capcom  ,8.2,,0.09,0.03,0.08,0.0,0.21,https://www.vgchartz.com/game/3332/final-fight-one/?region=All,Fighting
9010,Refunct,PC,,,,undefined,Unknown  ,Dominique Grieshofer  ,,,,,,,,https://www.vgchartz.com/game/223727/refunct/?region=All,undefined
9011,Gallop Racer 2003: A New Breed,PS2,2003.0,Mar,31.0,undefined,Tecmo  ,Tecmo  ,,,0.04,0.03,0.12,0.01,0.21,https://www.vgchartz.com/game/3384/gallop-racer-2003-a-new-breed/?region=All,Sports
