Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL,New_Genre,Genre_2020
16001,Yuki Yuna is a Hero: Memory of the Forest,PSV,2015.0,Feb,26.0,undefined,FuRyu Corporation  ,FuRyu  ,,,,,0.05,,0.05,https://www.vgchartz.com/game/85215/yuki-yuna-is-a-hero-memory-of-the-forest/?region=All,Action,Action
16002,Game no Kanzume Vol 1,SCD,1994.0,Mar,18.0,undefined,Sega  ,Unknown  ,,,,,0.04,0.0,0.05,https://www.vgchartz.com/game/3388/game-no-kanzume-vol-1/?region=All,Misc,Misc
16003,Jonah Lomu Rugby Challenge,PC,2011.0,Oct,13.0,undefined,Sidhe Interactive  ,Sidhe Interactive  ,,,,0.04,,0.01,0.04,https://www.vgchartz.com/game/64666/jonah-lomu-rugby-challenge/?region=All,Sports,Sports
16004,Rat Attack!,PS,1999.0,Aug,31.0,undefined,Mindscape  ,Pure Entertainment  ,,,0.03,0.02,,0.0,0.04,https://www.vgchartz.com/game/40436/rat-attack/?region=All,Puzzle,Puzzle
16005,The Tale of Despereaux,Wii,2008.0,Dec,2.0,undefined,Brash Entertainment  ,Sensory Sweep Studios  ,,,0.04,0.0,,0.0,0.04,https://www.vgchartz.com/game/25485/the-tale-of-despereaux/?region=All,Platform,Platform
16006,Nanda's Island,DS,2011.0,Mar,28.0,undefined,Mumbo Jumbo  ,MumboJumbo  ,,,0.04,,,0.0,0.04,https://www.vgchartz.com/game/48242/nandas-island/?region=All,Puzzle,Puzzle
16007,Ford Bold Moves Street Racing,PSP,2006.0,Oct,17.0,undefined,Eidos Interactive  ,Razorworks Studios  ,,,0.04,0.0,,0.0,0.04,https://www.vgchartz.com/game/5120/ford-bold-moves-street-racing/?region=All,Racing,Racing
16008,Cheer We Go!,DS,2010.0,Mar,23.0,undefined,Natsume  ,Natsume  ,,,0.04,,,0.0,0.04,https://www.vgchartz.com/game/43252/cheer-we-go/?region=All,Misc,Misc
16009,Danny Phantom: Urban Jungle,DS,2006.0,Sep,19.0,undefined,THQ  ,THQ  ,,,0.04,,,0.0,0.04,https://www.vgchartz.com/game/458/danny-phantom-urban-jungle/?region=All,Action,Action
16010,Virtua Tennis 3,X360,2007.0,Mar,20.0,undefined,Sega  ,Sumo Digital  ,,,0.03,0.01,,0.0,0.04,https://www.vgchartz.com/game/20384/virtua-tennis-3/?region=All,Sports,Sports
16011,Sotsugyou II: Neo Generation,PS,1995.0,Oct,27.0,undefined,Riverhillsoft  ,Riverhillsoft  ,,,,,0.04,0.0,0.04,https://www.vgchartz.com/game/4353/sotsugyou-ii-neo-generation/?region=All,Simulation,Simulation
16012,Summon Night Craft Sword Monogatari: Hajimari no Ishi,GBA,2005.0,Dec,8.0,undefined,Banpresto  ,Flight-Plan  ,,,,,0.04,0.0,0.04,https://www.vgchartz.com/game/4408/summon-night-craft-sword-monogatari-hajimari-no-ishi/?region=All,Role-Playing,Role-Playing
16013,Dead Alliance,PS4,2017.0,Aug,29.0,undefined,Maximum Games  ,IllFonic  ,,,0.04,,,0.01,0.04,https://www.vgchartz.com/game/192913/dead-alliance/?region=All,undefined,Shooter
16014,Grey's Anatomy: The Video Game,DS,2009.0,Mar,4.0,undefined,Ubisoft  ,Longtail Studios  ,,,0.03,0.01,,0.0,0.04,https://www.vgchartz.com/game/30920/greys-anatomy-the-video-game/?region=All,Adventure,Adventure
16015,The King of Fighters 2002: Unlimited Match,PS2,2009.0,Feb,26.0,undefined,SNK Playmore  ,SNK Playmore Corporation  ,,,,,0.04,,0.04,https://www.vgchartz.com/game/32496/the-king-of-fighters-2002-unlimited-match/?region=All,Fighting,Fighting
16016,Art of Fighting Anthology,PS2,2007.0,May,17.0,undefined,SNK Playmore  ,SNK Playmore Corporation  ,,,0.02,0.02,,0.01,0.04,https://www.vgchartz.com/game/6047/art-of-fighting-anthology/?region=All,Fighting,Fighting
16017,Looney Tunes: Cartoon Conductor,DS,2008.0,Jun,10.0,undefined,Eidos Interactive  ,Amaze Entertainment  ,,,0.04,0.0,,0.0,0.04,https://www.vgchartz.com/game/23790/looney-tunes-cartoon-conductor/?region=All,Misc,Misc
16018,Phoenix Wright: Revived Turnabout,DS,2008.0,Apr,17.0,undefined,Capcom  ,Capcom  ,,,,,0.04,,0.04,https://www.vgchartz.com/game/19931/phoenix-wright-revived-turnabout/?region=All,Misc,Misc
16019,Rapala Trophies,PSP,2006.0,Sep,1.0,undefined,Activision  ,Sand Grain Studios  ,,,0.04,,,0.0,0.04,https://www.vgchartz.com/game/1841/rapala-trophies/?region=All,Sports,Sports
16020,Mana Khemia: Alchemists of Al-Revis (JP sales),PS2,2008.0,Apr,1.0,undefined,NIS America  ,Gust  ,6.6,,,,0.04,,0.04,https://www.vgchartz.com/game/6779/mana-khemia-alchemists-of-al-revis-jp-sales/?region=All,Role-Playing,Role-Playing
16021,The Hustle: Detroit Streets,PS2,2006.0,Apr,26.0,undefined,Activision  ,Blade Interactive  ,,,0.02,0.02,,0.01,0.04,https://www.vgchartz.com/game/5832/the-hustle-detroit-streets/?region=All,Sports,Sports
16022,Tomoyo After: It's a Wonderful Life CS Edition,PSP,2009.0,Feb,19.0,undefined,Prototype  ,Key  ,,,,,0.04,,0.04,https://www.vgchartz.com/game/28501/tomoyo-after-its-a-wonderful-life-cs-edition/?region=All,Adventure,Adventure
16023,Virtua Fighter CG Portrait Series Vol.6: Lau Chan,SAT,1995.0,Dec,8.0,undefined,Sega  ,Sega-AM2  ,,,,,0.04,,0.04,https://www.vgchartz.com/game/4664/virtua-fighter-cg-portrait-series-vol6-lau-chan/?region=All,Misc,Misc
16024,Guilty Gear XX Accent Core,PS2,2007.0,Sep,11.0,undefined,Aksys Games  ,Arc System Works  ,,,,,0.04,,0.04,https://www.vgchartz.com/game/6156/guilty-gear-xx-accent-core/?region=All,Fighting,Fighting
