Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1,Pokemon,Series,1998,Sep,28,undefined,Nintendo  ,Game Freak  ,,,,,,,
2,Super Mario,Series,1983,Jul,20,undefined,Nintendo  ,Nintendo  ,,,,,,,
3,Grand Theft Auto,Series,1998,Mar,27,undefined,Rockstar Games  ,Rockstar North|Rockstar Leeds|Digital Eclipse  ,,,,,,,
4,Call of Duty,Series,2003,Oct,29,undefined,Activision  ,Infinity Ward|Grey Matter Interactive|Treyarch|Sledgehammer Games|Raven Software|Neversoft|High Moon Studios  ,,,,,,,
5,FIFA,Series,1993,Dec,15,undefined,EA Sports  ,Extended Play Productions (1991-1997)|EA Vancouver (1997-present)|EA Romania (2016-present)  ,,,,,,,
6,Minecraft,Series,2011,Nov,18,undefined,Mojang  ,Mojang  ,,,,,,,
7,The Sims,Series,2000,Feb,04,undefined,Electronic Arts  ,Maxis  ,,,,,,,
8,Tetris,Series,1984,Jun,06,undefined,Unknown  ,"Alexey Pajitnov|AcademySoft|Andromeda Software|Atari Games|Bullet-Proof Software|Electronic Arts|Elorg|Nintendo R&D1|Philips|Rowan Software|Spectrum HoloByte|Sphere, Inc.|Sanritsu Denki|Sega|SoMa Play| ZCT Systems|Gameloft  ",,,,,,,
9,Final Fantasy,Series,1987,Dec,18,undefined,Square  ,Square|Square Enix  ,,,,,,,
10,Need for Speed,Series,1994,Aug,31,undefined,Electronic Arts  ,EA Black Box|EA Bright Light|EA Canada|Eden Studios|Exient Entertainment|Firebrand Games|Ghost Games|Piranha Games|Slightly Mad Studios|Criterion Games|Firemonkeys Studios  ,,,,,,,
11,Mario Kart,Series,1992,Sep,01,undefined,Nintendo  ,Nintendo|Intelligent Systems|Retro Studios|Namco|Namco Bandai  ,,,,,,,
12,Assassin's Creed,Series,2007,Nov,13,undefined,Ubisoft  ,Ubisoft|Gameloft|Griptonite Games|Blue Byte  ,,,,,,,
13,Madden NFL,Series,1988,Jun,01,undefined,Electronic Arts  ,"Park Place Productions|D.C. True, Ltd.|Electronic Arts|Blue Sky Productions|Visual Concepts|High Score Productions|Halestorm|Tiertex|Tiburon Entertainment|EA Tiburon|EA Sports|THQ|3d6 Games|Budcat Creations|Exient Entertainment|EA Canada|HB Studios  ",,,,,,,
14,Wii Sports,Series,2006,Nov,19,undefined,Nintendo  ,Nintendo|Bandai Namco Studios  ,,,,,,,
15,The Legend of Zelda,Series,1987,Jul,14,undefined,Nintendo  ,Nintendo  ,,,,,,,
16,Pro Evolution Soccer,Series,1995,Dec,22,undefined,Konami  ,Konami  ,,,,,,,
17,Lego,Series,1997,Sep,26,undefined,Mindscape  ,TT Fusion  ,,,,,,,
18,NBA 2K,Series,1999,Nov,10,undefined,Sega  ,Visual Concepts|Saber Interactive   ,,,,,,,
19,Resident Evil,Series,1996,Mar,30,undefined,Capcom  ,Capcom  ,,,,,,,
20,Wii Sports,Wii,2006,Nov,19,undefined,Nintendo  ,Nintendo EAD  ,7.7,,41.36,29.02,3.77,8.51,82.65
21,Dragon Quest,Series,1986,May,27,undefined,Square  ,ArtePiazza|Chunsoft|Heartbeat|Level-5|Square Enix  ,,,,,,,
22,Gran Turismo,Series,1998,May,12,undefined,Sony Computer Entertainment  ,Polyphony Digital  ,,,,,,,
23,Battlefield,Series,2002,Sep,10,undefined,Electronic Arts  ,EA DICE|Easy Studios|Neowiz Games|Visceral Games  ,,,,,,,
24,Sonic the Hedgehog,Series,1991,Jun,23,undefined,Sega  ,Sonic Team  ,,,,,,,
25,Tomb Raider,Series,1996,Nov,14,undefined,Eidos Interactive  ,Core Design|Crystal Dynamics|Nixxes Software|Ubisoft Milan|Eidos Montreal  ,,,,,,,
26,Halo,Series,2001,Nov,15,undefined,Microsoft Game Studios  ,Bungie|343 Industries  ,,,,,,,
